What Country or Region do you live in?,Which US State or Territory do you live in?,How old are you?,How many years of IT/Programming experience do you have?,How would you best describe the industry you currently work in?,Which best describes the size of your company?,Which of the following best describes your occupation?,What is your involvement in purchasing products or services for the company you work for? (You can choose more than one),,,,,,,What types of purchases are you involved in?,,,,,,"What is your budget for outside expenditures (hardware, software, consulting, etc) for 2011?",What type of project are you developing?,Which languages are you proficient in?,,,,,,,,,,,,,,,Which desktop operating system do you use the most?,What best describes your career / job satisfaction? ,"Including bonus, what is your annual compensation in USD?",Have you visited / Are you aware of Stack Overflow Careers?,Do you have a Stack Overflow Careers Profile?,"You answered you don't have a Careers profile, can you elaborate why?",,Which technology products do you own? (You can choose more than one),,,,,,,,,,,,,,,,,,,,"In the last 12 months, how much money have you spent on personal technology-related purchases? ",Please rate the advertising you've seen on Stack Overflow,,,,,,What advertisers do you remember seeing on Stack Overflow?,What is your current Stack Overflow reputation?,Which of our sites do you frequent most?,
United States of America,Wisconsin,40-50,11,Retail,Mid Sized (100-999),IT Staff / System Administrator,Influencer,Recommender,,Purchaser,,,,Hardware,Servers,Software,"User Equipment: Monitors, PCs, Laptops",,,"$41,000 - $75,000",Other,,,,PHP,,,,SQL,,,,Perl,,,,Linux,I enjoy going to work,"$40,000 - $60,000",No,No thank you,Didn't know about Careers before you asked,,,,,,,,,,,,,,,,,,,,,laptop,"$1,001-$2,000",Neutral,Agree,Disagree,Disagree,Strongly Disagree,Neutral,,1,Server Fault,
Other Asia,,25-29,41070,Software Products,Mature Small Business (25-100),Web Application Developer,,Recommender,,,,,,,,Software,,Consultants,,"<$10,000",Web Platform,Java,JavaScript,,,,,,,C#,C++,C,,,,,Windows 7,I enjoy going to work,"<$20,000",No,"No, but I want one! (Please provide email and we will invite you)",,,iPhone,Android,,,,,,,,,,,,,,,,,,,"$1,001-$2,000",Agree,Disagree,Agree,Agree,Agree,,,Don't have an account,Stack Overflow,
Other Asia,,20-24,<2,Software Products,"Fortune 1000 (1,000+)",Desktop Application Developer,,,,,,No Involvement,,,,,,,,,Enterprise,,,,,,,,,C#,,,,,,,Windows 7,Love my job,"<$20,000",Yes,Yes,,,,Android,,,,,,,,,,,,,,Other gaming system,,,,,$100-$250,Agree,Agree,Agree,Agree,Strongly Disagree,Strongly Disagree,,50,Stack Overflow,
Other Europe,,20-24,<2,Gaming,Start Up (1-25),Other,,Recommender,,,,No Involvement,,,,,,,Other,"<$10,000",Other,,JavaScript,CSS,PHP,,,,SQL,,C++,C,,,,,Windows 7,Its a paycheck,"$20,000 - $40,000",Yes,Yes,,,,,,,Other Smart Phone,,,,,,,,PS3,,,,,,,,"$1,001-$2,000",Agree,Agree,Neutral,Agree,Neutral,Neutral,,1,Other Stack Exchange (please specify),Game Development
Russia,,25-29,40944,Software Products,Mid Sized (100-999),Other,,,,,,No Involvement,,,,,,,,,Other,Java,,,,Python,,,SQL,,,,,,,,Linux,Its a paycheck,"<$20,000",No,"No, but I want one! (Please provide email and we will invite you)",,,,,,,,Regular Mobile Phone,Kindle,,,,,,,,,,,,,,$251-$500,Neutral,Disagree,Neutral,Agree,Disagree,Strongly Disagree,No one,100,Stack Overflow,
Canada,,>60,11,Software Products,Start Up (1-25),Desktop Application Developer,,,Approver,Purchaser,Check Writer,,,Hardware,Servers,Software,"User Equipment: Monitors, PCs, Laptops",,,"<$10,000",Other,,,,,,,,SQL,C#,,,,,,vba,Windows 7,Love my job,"$40,000 - $60,000",Yes,No thank you,Thought Careers site was just about finding a job and I already have one,,iPhone,,,,,,Kindle,,,,,Netbook,,,,,,iPad,,"Macbooks, Windows PCs, Windows laptops",">$3,000",Agree,Neutral,Neutral,Agree,Neutral,,,500,Stack Overflow,
India,,20-24,<2,Web Services,Start Up (1-25),Web Application Developer,,,,,,No Involvement,,,,,,,,,Web Platform,,JavaScript,CSS,PHP,,,,,,,,,,,,Linux,I enjoy going to work,Rather not say,Yes,Yes,,,,,,,,Regular Mobile Phone,,,,,,,,,,,,,,,<$100,Agree,Disagree,Disagree,Agree,Disagree,Disagree,Carrers  Area 51,500,Stack Overflow,
United States of America,Massachusetts,25-29,11,Web Services,Start Up (1-25),Web Application Developer,Influencer,Recommender,,,,,,,,Software,,Consultants,,"$10,001 - $25,000",SaaS,,JavaScript,CSS,,Python,,,SQL,,,,,HTML5,,,Linux,I enjoy going to work,"$120,000 - $140,000",Yes,No thank you,Thought Careers site was just about finding a job and I already have one,,iPhone,Android,,,,,Kindle,,AppleTV,Boxee,,,,Xbox,Wii,,,iPad,,,">$3,000",Agree,Neutral,Agree,Strongly Agree,Agree,Neutral,Other Stack Exchange sites,100,Stack Overflow,
United States of America,Texas,35-39,11,Other,Mid Sized (100-999),Manager of Developers or Team Leader,Influencer,Recommender,Approver,Purchaser,,,,Hardware,Servers,Software,"User Equipment: Monitors, PCs, Laptops",Consultants,Other,">$150,000",SaaS,,JavaScript,CSS,,,Objective-C,,SQL,C#,,,,,,,Windows 7,I enjoy going to work,">$140,000",Yes,No thank you,Don't have anything cool to put on a profile,,iPhone,,,,,,,,,,Other media streaming device,,,Xbox,Wii,,,iPad,,,">$3,000",Agree,Agree,Agree,Agree,Neutral,Neutral,,1,Stack Overflow,
United States of America,Ohio,30-34,11,Consulting,Start Up (1-25),IT Staff / System Administrator,Influencer,Recommender,Approver,,,,I'm a Seller,Hardware,Servers,Software,"User Equipment: Monitors, PCs, Laptops",Consultants,Other,"$75,001 - $100,000",Other,,,,,,,,,,,C,,,,,Windows XP,Love my job,"$80,000 - $100,000",Yes,Yes,,,iPhone,,,,,Regular Mobile Phone,,,,,,,,,Wii,Other gaming system,,,,,"$1,001-$2,000",Agree,Neutral,Neutral,Neutral,Neutral,Strongly Disagree,,500,Server Fault,
United States of America,California,30-34,<2,Other,Student,Student,,,,,,No Involvement,,,,,,,,,Other,Java,,,,,,,,,,,,,,,Windows 7,Its a paycheck,"$80,000 - $100,000",Yes,No thank you,Don't have anything cool to put on a profile,,,Android,,,,,,,,,Other media streaming device,,,,,,,,,,"$501-$1,000",Neutral,Disagree,Neutral,Agree,Disagree,Strongly Disagree,none,100,Stack Overflow,
Russia,,25-29,41070,Software Products,Start Up (1-25),Server Programmer,,Recommender,,,,,,,,Software,,,,"<$10,000",Enterprise,,,,,,,,,C#,C++,,,,,,Windows 7,I enjoy going to work,"<$20,000",Yes,No thank you,Don't have anything cool to put on a profile,,,,,Windows Phone,,,,,,,Other media streaming device,,,,,,,iPad,,,"$501-$1,000",Neutral,Neutral,Neutral,Neutral,Neutral,Strongly Agree,,500,Stack Overflow,
India,,20-24,<2,Web Services,Mature Small Business (25-100),Web Application Developer,,,,,,No Involvement,,,,,,,,,Web Platform,,,CSS,,Python,,,,C#,C++,,,,,,Windows XP,Its a paycheck,"<$20,000",Yes,No thank you,Don't have anything cool to put on a profile,,,,,,,,,,,,,,,,,,,,,,<$100,Agree,Strongly Agree,Agree,Neutral,Strongly Disagree,Strongly Disagree,"GitHub, Other StackExchange sites",100,Stack Overflow,
India,,20-24,<2,Other,Mature Small Business (25-100),Other,,Recommender,,,,,,,,Software,"User Equipment: Monitors, PCs, Laptops",,,Don't know,Mobile,,,,,,Objective-C,,,,,,,HTML5,,,Mac OS X,Love my job,"<$20,000",Yes,"No, but I want one! (Please provide email and we will invite you)",,,iPhone,,,,,,,,,,,,,,,,,iPad,,,$100-$250,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Disagree,Neutral,"Careers StackOverflow, Meta StackOverflow, Conferences.",200,Stack Overflow,
India,,20-24,40944,Software Products,Start Up (1-25),Server Programmer,,Recommender,,,,,,,,Software,,,,Don't know,Enterprise,Java,,,,,,,SQL,,,,,,,,Windows XP,Love my job,,Yes,"No, but I want one! (Please provide email and we will invite you)",,,,Android,,,,,,,,,,,,,,,,,,,,Agree,Agree,Agree,Agree,Strongly Disagree,Disagree,,1000,Stack Overflow,
Canada,,20-24,<2,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada,,20-24,41070,Web Services,Start Up (1-25),Web Application Developer,Influencer,Recommender,,,,,,,,Software,"User Equipment: Monitors, PCs, Laptops",,,"<$10,000",Mobile,Java,JavaScript,CSS,PHP,,Objective-C,Ruby,SQL,C#,,,Perl,HTML5,,,Mac OS X,I enjoy going to work,"$20,000 - $40,000",No,"No, but I want one! (Please provide email and we will invite you)",,,iPhone,Android,,,,,,,AppleTV,,,,,Xbox,,,,iPad,,,$100-$250,Strongly Disagree,Strongly Disagree,Neutral,Strongly Agree,Neutral,Strongly Disagree,I don't remember seeing any.,1000,Stack Overflow,
Other Asia,,25-29,11,Retail,"Fortune 1000 (1,000+)",Manager of Developers or Team Leader,,Recommender,,,,,,Hardware,,,,,,"<$10,000",Web Platform,Java,JavaScript,CSS,PHP,Python,,,SQL,C#,C++,C,Perl,HTML5,,,Windows 7,I enjoy going to work,Rather not say,Yes,Yes,,,iPhone,,,,,Regular Mobile Phone,Kindle,,,,Other media streaming device,,,,Wii,,,iPad,,,"$501-$1,000",Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,,100,Super User,
India,,20-24,<2,Software Products,Start Up (1-25),Desktop Application Developer,,Recommender,,,,,,,,Software,,,,"<$10,000",Enterprise,Java,JavaScript,CSS,,,,,,,C++,C,,HTML5,,,Windows XP,I enjoy going to work,"<$20,000",No,"No, but I want one! (Please provide email and we will invite you)",,,,,,,Other Smart Phone,,,,,,,,,,,,,,,,"$2,001-$3,000",Neutral,Neutral,Agree,Agree,Disagree,Strongly Disagree,,10000,Stack Overflow,
United States of America,Minnesota,35-39,11,Healthcare,Mature Small Business (25-100),Web Application Developer,Influencer,Recommender,,Purchaser,,,,Hardware,,Software,"User Equipment: Monitors, PCs, Laptops",Consultants,Other,">$150,000",Web Platform,Java,JavaScript,CSS,,,,,SQL,,,,,HTML5,,groovy,Mac OS X,I enjoy going to work,">$140,000",Yes,Yes,,,iPhone,Android,,,,,,,AppleTV,,,,,Xbox,Wii,,Kindle Fire,iPad,,,">$3,000",Neutral,Neutral,Neutral,Agree,Agree,Neutral,,5000,Stack Overflow,
Mexico,,< 20,<2,Web Services,"Other (not working, consultant, etc.)",Web Application Developer,,,,,,No Involvement,,,,,,,,,Web Platform,,JavaScript,CSS,PHP,,,,SQL,,,,,,,,Windows XP,I wish I had a job!,Rather not say,No,No thank you,Don't have anything cool to put on a profile,,,,,,Other Smart Phone,,,,,,,,,,Wii,,,,,Ipod Touch,<$100,Neutral,Neutral,Neutral,Strongly Disagree,Neutral,Neutral,none,200,Stack Overflow,
United States of America,North Carolina,30-34,11,Software Products,Start Up (1-25),"Executive (VP of Eng, CTO, CIO, etc.)",Influencer,Recommender,Approver,Purchaser,,,,Hardware,Servers,Software,"User Equipment: Monitors, PCs, Laptops",Consultants,Other,"$100,001 - $150,000",SaaS,,JavaScript,CSS,,,,Ruby,SQL,C#,,,,HTML5,,,Mac OS X,Love my job,"$80,000 - $100,000",Yes,Yes,,,iPhone,,,,,,Kindle,,AppleTV,,,,PS3,Xbox,Wii,,,iPad,,,"$2,001-$3,000",Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,,2000,Stack Overflow,
India,,20-24,40944,Web Services,Mature Small Business (25-100),Web Application Developer,,,,,,No Involvement,,,,,,,,,Web Platform,,JavaScript,CSS,PHP,,Objective-C,,,,C++,C,,HTML5,,,Linux,Love my job,"<$20,000",Yes,Yes,,,,Android,,,,,,,,,,,,,,,,iPad,,,$251-$500,Agree,Agree,Agree,Agree,Disagree,Strongly Disagree,"Stack overflow Career, Some product of urs I forgot the name...",2000,Stack Overflow,
Australasia,,40-50,11,Consulting,Start Up (1-25),"Executive (VP of Eng, CTO, CIO, etc.)",Influencer,Recommender,Approver,Purchaser,Check Writer,,I'm a Seller,Hardware,Servers,Software,"User Equipment: Monitors, PCs, Laptops",Consultants,,"<$10,000",Web Platform,,,CSS,,Python,,,SQL,C#,C++,C,,,,,Linux,I enjoy going to work,"$120,000 - $140,000",Yes,"No, but I want one! (Please provide email and we will invite you)",,,,Android,,,,,Kindle,,,,Other media streaming device,,PS3,Xbox,Wii,Other gaming system,,,Other tablet,,"$2,001-$3,000",Neutral,Neutral,Neutral,Disagree,Disagree,Neutral,,500,Server Fault,
Other Asia,,30-34,41070,Other,Start Up (1-25),Web Application Developer,Influencer,Recommender,,,,,,Hardware,,Software,,,,Don't know,Web Platform,,,,PHP,,,Ruby,,,,,,,,,Mac OS X,Its a paycheck,"<$20,000",Yes,Yes,,,,,,,,Regular Mobile Phone,,,,,,,,,Wii,,,,,,<$100,Strongly Disagree,Neutral,Neutral,Agree,Strongly Disagree,Strongly Disagree,I don't remember seeing any,5000,Stack Overflow,
Russia,,< 20,40944,Software Products,Student,Desktop Application Developer,,,,,,No Involvement,,,,,,,,,Other,Java,JavaScript,CSS,PHP,,,,SQL,,,,,,,Scala,Linux,I wish I had a job!,Student / Unemployed,Yes,No thank you,Don't have anything cool to put on a profile,,,,,,,,,,,,,Netbook,,,,,,,,,"$1,001-$2,000",Agree,Strongly Disagree,Disagree,Agree,Strongly Disagree,Disagree,,1000,Stack Overflow,
Canada,,30-34,41070,Web Services,Mature Small Business (25-100),Manager of Developers or Team Leader,,Recommender,,,,,,,,Software,,,Other,Don't know,Web Platform,,JavaScript,CSS,PHP,,,,,,,,,,,,Windows 7,I enjoy going to work,"$60,000 - $80,000",Yes,Yes,,,,,Blackberry,,,,,,,,,Netbook,,,Wii,,,,,,"$501-$1,000",Neutral,Neutral,Disagree,Agree,Strongly Disagree,Strongly Disagree,"SO Careers, other Stack Exchange sites.  A few open source projects",2000,Programmers Stack Exchange,
Other Asia,,25-29,40944,Healthcare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United States of America,Virginia,25-29,41070,Consulting,Mid Sized (100-999),Manager of Developers or Team Leader,Influencer,Recommender,Approver,Purchaser,,,,Hardware,,Software,"User Equipment: Monitors, PCs, Laptops",,,">$150,000",Mobile,,JavaScript,CSS,,,,,,C#,,,,HTML5,,,Windows 7,I enjoy going to work,">$140,000",Yes,Yes,,,iPhone,,,Windows Phone,,,Kindle,,,,,Netbook,,Xbox,Wii,,,iPad,,,"$2,001-$3,000",Neutral,Strongly Disagree,Neutral,Agree,Agree,Strongly Disagree,The careers site,5000,Stack Overflow,
South America,,20-24,11,Software Products,Start Up (1-25),Manager of Developers or Team Leader,Influencer,Recommender,,,,,,Hardware,Servers,Software,"User Equipment: Monitors, PCs, Laptops",Consultants,,"$10,001 - $25,000",Enterprise,Java,JavaScript,CSS,,,,,SQL,C#,,,,,,,Windows 7,Love my job,"<$20,000",Yes,No thank you,Thought Careers site was just about finding a job and I already have one,,,,Blackberry,,,,,,,,,,PS3,,,,,iPad,,,"$1,001-$2,000",Neutral,Neutral,Neutral,Agree,Strongly Disagree,Strongly Disagree,None....,500,Stack Overflow,
United States of America,Florida,25-29,11,Web Services,Start Up (1-25),Web Application Developer,,,,,,No Involvement,,,,,,,,,Web Platform,,JavaScript,CSS,PHP,,,,SQL,,,,,,,,Mac OS X,I'm not happy in my job,"$80,000 - $100,000",Yes,Yes,,,iPhone,,,,,,,,AppleTV,,,,,Xbox,,,,iPad,,,"$1,001-$2,000",Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Disagree,Strongly Agree,,1000,Stack Overflow,
India,,25-29,40944,Software Products,Mature Small Business (25-100),Web Application Developer,,,,,,No Involvement,,,,,,,,,Mobile,Java,,,,,,,,,,,,,,,Windows XP,I enjoy going to work,Rather not say,Yes,No thank you,Couldn't get an invite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United States of America,Nevada,25-29,40944,Finance / Banking,Mid Sized (100-999),Desktop Application Developer,,Recommender,,,,,,,,Software,"User Equipment: Monitors, PCs, Laptops",,,"$10,001 - $25,000",Other,Java,,,,,,,,C#,C++,C,,,,,Mac OS X,Its a paycheck,"$60,000 - $80,000",Yes,Yes,,,iPhone,,,,,,,,,,,,,,,,,,,,">$3,000",Disagree,Neutral,Neutral,Neutral,Strongly Disagree,Agree,,200,Meta Stack Overflow,
United States of America,Connecticut,20-24,40944,Other,"Fortune 1000 (1,000+)",Web Application Developer,,,,,,No Involvement,,,,,,,,,Web Platform,,JavaScript,CSS,,,,,,C#,,,,,,F#,Windows 7,I enjoy going to work,"$60,000 - $80,000",Yes,Yes,,,,Android,,,,,Kindle,,,,,,,,Wii,,,,,,$100-$250,Neutral,Neutral,Neutral,Neutral,Neutral,Strongly Agree,"Adblock Plus takes care of pretty much all advertisements, so I can't really answer.",10000,Stack Overflow,
Canada,,30-34,41070,Consulting,"Fortune 1000 (1,000+)",Web Application Developer,,,,,,No Involvement,,,,,,,,,Enterprise,,,,,,,,SQL,C#,,,,,,,Windows 7,I enjoy going to work,Rather not say,Yes,No thank you,Thought Careers site was just about finding a job and I already have one,,,Android,,,,,,,,,,,PS3,,,,,,,,<$100,Neutral,Neutral,Neutral,Agree,Disagree,Agree,,200,Programmers Stack Exchange,
United States of America,New York,40-50,11,Finance / Banking,Mature Small Business (25-100),"Executive (VP of Eng, CTO, CIO, etc.)",Influencer,Recommender,Approver,Purchaser,,,,,,Software,,Consultants,,">$150,000",Enterprise,Java,,,,,,,,C#,C++,C,,,,,Windows 7,Love my job,">$140,000",Yes,No thank you,Thought Careers site was just about finding a job and I already have one,,iPhone,,,,,,Kindle,,,,Other media streaming device,,,,,,,iPad,,,">$3,000",Agree,Neutral,Neutral,Agree,Strongly Disagree,Strongly Disagree,,2000,Stack Overflow,
Australia,,20-24,40944,Finance / Banking,Mature Small Business (25-100),Web Application Developer,Influencer,Recommender,,,,,,,Servers,Software,,,,Don't know,Web Platform,Java,JavaScript,CSS,PHP,Python,,,SQL,C#,C++,C,,HTML5,,Ada,Windows 7,Its a paycheck,"$40,000 - $60,000",Yes,"No, but I want one! (Please provide email and we will invite you)",,,,Android,,,,,,,,,,Netbook,PS3,,,,,,,,"$1,001-$2,000",Agree,Agree,Neutral,Agree,Strongly Disagree,Disagree,The one for this survey.  SE Store.,2000,Stack Overflow,
Russia,,20-24,<2,Software Products,Start Up (1-25),Desktop Application Developer,,,,,,No Involvement,,,,,,,,,Mobile,Java,,,,,Objective-C,,SQL,C#,C++,C,,,,,Mac OS X,I enjoy going to work,"<$20,000",Yes,"No, but I want one! (Please provide email and we will invite you)",,,,,,,Other Smart Phone,Regular Mobile Phone,,,,,,,,,,,,,,iPod touch,"$501-$1,000",Neutral,Disagree,Disagree,Neutral,Disagree,Strongly Disagree,,1,Stack Overflow,
India,,20-24,40944,Web Services,Student,Student,,,,Purchaser,,,,Hardware,,Software,"User Equipment: Monitors, PCs, Laptops",,,"$10,001 - $25,000",Web Platform,,JavaScript,CSS,PHP,,,,,,,C,,HTML5,,,Windows 7,I enjoy going to work,Student / Unemployed,No,"No, but I want one! (Please provide email and we will invite you)",,,,Android,Blackberry,,,,,,,,,,,,,,,,,,$100-$250,Agree,Neutral,Agree,Agree,Neutral,Disagree,,Don't have an account,Stack Overflow,
Australia,,35-39,11,Web Services,Start Up (1-25),Web Application Developer,,,Approver,,,,,Hardware,Servers,Software,"User Equipment: Monitors, PCs, Laptops",Consultants,Other,"$25,001 - $40,000",Web Platform,Java,JavaScript,CSS,,,Objective-C,,SQL,C#,,,,HTML5,,,Windows 7,I'm not happy in my job,"$120,000 - $140,000",Yes,Yes,,,,Android,,,,,,,,,,,PS3,,,,,iPad,,,"$1,001-$2,000",Agree,Neutral,Agree,Neutral,Neutral,Agree,,3000,Stack Overflow,
United States of America,Texas,25-29,41070,Other,"Fortune 1000 (1,000+)",Systems Analyst,Influencer,Recommender,,,,,,,,Software,,,,Don't know,Enterprise,,,,PHP,,,,SQL,C#,,,,,,,Windows 7,Its a paycheck,"$100,000 - $120,000",No,No thank you,Didn't know about Careers before you asked,,,Android,Blackberry,,,,,,,,Other media streaming device,,,Xbox,,Other gaming system,,,,,"$1,001-$2,000",Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,,1,Stack Overflow,
Australasia,,35-39,11,Consulting,Start Up (1-25),Web Application Developer,Influencer,,,,,,,,,Software,"User Equipment: Monitors, PCs, Laptops",,,"<$10,000",Web Platform,,JavaScript,CSS,PHP,,,,SQL,,,,,HTML5,,,Linux,I enjoy going to work,"$80,000 - $100,000",Yes,No thank you,Don't have anything cool to put on a profile,,iPhone,,,,,,,,,,,Netbook,,,,,,iPad,Other tablet,,"$2,001-$3,000",Agree,Agree,Agree,Neutral,Strongly Disagree,Strongly Disagree,,1000,Stack Overflow,
Australasia,,25-29,40944,Education,Mid Sized (100-999),Database Administrator,Influencer,Recommender,,,,,,Hardware,Servers,Software,,,,Don't know,Web Platform,Java,JavaScript,,,Python,,,SQL,C#,,C,,,,,Windows 7,I enjoy going to work,"$40,000 - $60,000",Yes,"No, but I want one! (Please provide email and we will invite you)",,,,,,,,,,,,,,,PS3,,,,,,,,"$2,001-$3,000",Neutral,Neutral,Neutral,Neutral,Neutral,Agree,,200,Other Stack Exchange (please specify),dba.se
Other Europe,,25-29,11,Other,Student,Student,,,,,,No Involvement,,,,,,,,,Mobile,Java,,,,,,,,C#,C++,C,,,,Nemerle,Windows 7,I wish I had a job!,Student / Unemployed,Yes,Yes,,,,,,,Other Smart Phone,,,,,,,,,,,,,,,,$100-$250,Disagree,Disagree,Disagree,Disagree,Strongly Disagree,Neutral,Careers 2.0,3000,Stack Overflow,
United States of America,New York,40-50,11,Finance / Banking,Mature Small Business (25-100),Web Application Developer,Influencer,Recommender,,,,,,,,Software,,,,"<$10,000",Enterprise,Java,JavaScript,,,,,,SQL,,,,Perl,,,,Linux,Its a paycheck,"$100,000 - $120,000",Yes,Yes,,,iPhone,,,,,,Kindle,,,,Other media streaming device,,,,,,,iPad,,TiVo,"$2,001-$3,000",Agree,Agree,Agree,Agree,Strongly Disagree,Strongly Disagree,,10000,Stack Overflow,
Other Asia,,20-24,41070,Software Products,Start Up (1-25),IT Manager,Influencer,Recommender,,,,,,Hardware,Servers,Software,"User Equipment: Monitors, PCs, Laptops",,,"$10,001 - $25,000",Other,,JavaScript,CSS,PHP,,,,SQL,,,,,HTML5,,,Windows 7,I enjoy going to work,Rather not say,Yes,No thank you,Other (please specify),Procrastinating,,Android,,,,,,,,,,,PS3,,,,,,,,$251-$500,Agree,Agree,Neutral,Agree,Neutral,Disagree,Interesting projects promoted by the community. geeky Christmas ads for careers,1000,Stack Overflow,
United States of America,New York,20-24,40944,Foundation / Non-Profit,Mid Sized (100-999),Database Administrator,Influencer,Recommender,Approver,,,,,,,Software,,,Other,"<$10,000",Enterprise,,,CSS,PHP,,,,,,,,Perl,,,,Mac OS X,I enjoy going to work,"$20,000 - $40,000",Yes,No thank you,Thought Careers site was just about finding a job and I already have one,,iPhone,,,,,,,,,,,,,,,,,iPad,,,">$3,000",Agree,Agree,Agree,Agree,Strongly Disagree,Strongly Disagree,,200,Other Stack Exchange (please specify),music
Canada,,25-29,11,Software Products,Start Up (1-25),Embedded Application Developer,,Recommender,,,,,,Hardware,Servers,Software,"User Equipment: Monitors, PCs, Laptops",Consultants,,"$41,000 - $75,000",Other,,,CSS,PHP,,,,,C#,C++,C,,HTML5,,,Windows 7,Love my job,"$80,000 - $100,000",Yes,Yes,,,,Android,,,,,Kindle,,,,,Netbook,,,,,,,,,$251-$500,Agree,Agree,Agree,Strongly Agree,Neutral,Agree,,1000,Stack Overflow,
United States of America,Maryland,< 20,<2,Web Services,Start Up (1-25),Web Application Developer,Influencer,Recommender,Approver,Purchaser,Check Writer,,I'm a Seller,Hardware,,Software,"User Equipment: Monitors, PCs, Laptops",,,"<$10,000",Web Platform,Java,,CSS,PHP,,Objective-C,,SQL,C#,C++,C,,HTML5,,,Mac OS X,Its a paycheck,Student / Unemployed,Yes,Yes,,,iPhone,,,Windows Phone,,,Kindle,,,,,,,Xbox,Wii,Other gaming system,,iPad,,,">$3,000",Agree,Agree,Agree,Agree,Disagree,Disagree,Careers 2.0,1000,Stack Overflow,
Canada,,25-29,41070,Manufacturing,Mid Sized (100-999),Web Application Developer,Influencer,Recommender,,,,,,,,Software,"User Equipment: Monitors, PCs, Laptops",,,Don't know,Web Platform,Java,JavaScript,CSS,,,Objective-C,,,C#,,,,HTML5,,,Mac OS X,I enjoy going to work,"$40,000 - $60,000",Yes,Yes,,,iPhone,,,,,,,,AppleTV,,,,,Xbox,,,,iPad,,,"$501-$1,000",Agree,Agree,Agree,Agree,Neutral,Agree,,1000,Other Stack Exchange (please specify),Gaming
